model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway	Chemokine signaling pathway	Chemokine signaling pathway, Phosphoinositide 3-kinase (PI3K) signaling, Cytokine signaling in the immune system, Mitogen-activated protein kinase (MAPK) signaling pathway, Rho GTPase signaling pathway	1.0	1.0	0.9999990782446931	llm2geneset	1773	2348
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cholesterol metabolism	Cholesterol metabolism	Apolipoprotein-mediated lipid transport, Cholesterol homeostasis, Endosomal transport and cholesterol trafficking, Molecular mechanisms of lipid droplet formation, Lipid metabolism	0.5	0.0	0.7741691276743627	llm2geneset	1190	1434
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Choline metabolism in cancer	Choline metabolism in cancer	MAPK signaling pathway, PI3K-Akt signaling pathway, Signaling by PDGF	0.0	0.0	0.3203662684290596	llm2geneset	1421	1666
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cholinergic synapse	Cholinergic synapse	Acetylcholine receptor signaling pathway, Calcium signaling pathway, cAMP signaling pathway, PI3K-Akt signaling pathway, Neurotransmitter release cycle	0.0	0.0	0.5602406432838405	llm2geneset	1463	1909
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chronic myeloid leukemia	Chronic myeloid leukemia	PI3K-Akt signaling pathway, TGF-beta signaling pathway, Apoptosis signaling pathway, Cell cycle regulation, NF-kB signaling pathway	0.0	0.0	0.2796865386387296	llm2geneset	1289	1378
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Circadian entrainment	Circadian entrainment	Calcium signaling pathway, cAMP signaling pathway, Ion channel signaling pathway, Signal transduction pathways	0.0	0.0	0.27519185524794343	llm2geneset	1383	2035
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Circadian rhythm	Circadian rhythm	Circadian Rhythm Regulation, Proteasome-mediated Ubiquitin-dependent Protein Catabolism	1.0	1.0	0.6930523647288265	llm2geneset	1155	1066
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	Citric Acid Cycle (Krebs Cycle), Pyruvate Metabolism, Amino Acid Metabolism, Electron Transport Chain	0.5	0.0	0.8319977953491737	llm2geneset	1108	1685
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cocaine addiction	Cocaine addiction	Dopaminergic synapse, Neurotransmitter signaling pathways, Calcium signaling pathway, Cellular response to stress	0.0	0.0	0.28415998855856867	llm2geneset	1205	2117
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Collecting duct acid secretion	Collecting duct acid secretion	Vacuolar Proton ATPase V1 and V0 complexes, Acid-base transport and ion homeostasis, Regulation of intracellular pH, Proton transmembrane transport	0.25	0.0	0.491806579818066	llm2geneset	1186	1201
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Colorectal cancer	Colorectal cancer	EGF receptor signaling pathway, TGF-beta signaling pathway, Apoptosis, Cell cycle regulation, DNA damage repair	0.0	0.0	0.3234775164360187	llm2geneset	1306	1622
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Complement and coagulation cascades	Complement and coagulation cascades	Coagulation cascade, Complement activation, Blood coagulation, Fibrinolysis	0.5	0.3333333333333333	0.7282739773428974	llm2geneset	1252	1237
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Coronavirus disease	Coronavirus disease	Ribosome biogenesis, Complement system, Interferon signaling pathway, Cytokine signaling in immune system, MAPK signaling pathway	0.0	0.0	0.24986453927056343	llm2geneset	1821	1656
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cortisol synthesis and secretion	Cortisol synthesis and secretion	Calcium signaling pathway, cAMP signaling pathway, Steroid hormone biosynthesis, Adrenocorticotropic hormone (ACTH) signaling pathway	0.0	0.0	0.6070099265814528	llm2geneset	1291	2159
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cushing syndrome	Cushing syndrome	Wnt signaling pathway, Cyclic nucleotide signaling, Cell cycle regulation, Steroid hormone biosynthesis, MAPK signaling pathway	0.0	0.0	0.32829832736351267	llm2geneset	1602	1903
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cysteine and methionine metabolism	Cysteine and methionine metabolism	Methionine metabolism, Glutathione metabolism, Transsulfuration pathway, One-carbon metabolism	0.5	0.3333333333333333	0.8253176934549635	llm2geneset	1166	1291
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cytokine-cytokine receptor interaction	Cytokine-cytokine receptor interaction	Cytokine signaling in immune system, TGF-beta signaling pathway, IL-10 signaling pathway, IL-17 signaling pathway	0.25	0.0	0.6755157094206998	llm2geneset	2168	1338
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cytosolic DNA-sensing pathway	Cytosolic DNA-sensing pathway	DNA response to cytoplasmic DNA, Regulation of NF-kappaB signaling, Inflammatory response, Type I interferon signaling pathway, Cytokine signaling in immune system	0.25	0.0	0.7281755665558732	llm2geneset	1276	1226
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism	D-Glutamine and D-glutamate metabolism	Glutamine metabolism, Glutamate metabolism, Nitrogen metabolism	0.3333333333333333	0.2	0.8040544197263539	llm2geneset	1005	1048
gpt-4o-mini-2024-07-18	KEGG_2021_Human	DNA replication	DNA replication	DNA replication, DNA repair, Telomere maintenance, DNA damage response	1.0	1.0	0.9999987135424326	llm2geneset	1105	1350
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Diabetic cardiomyopathy	Diabetic cardiomyopathy	Mitochondrial respiratory chain complex I assembly, TGF-beta signaling pathway, MAPK signaling pathway	0.0	0.0	0.23193861867192733	llm2geneset	1834	1350
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Dilated cardiomyopathy	Dilated cardiomyopathy	Calcium signaling pathway, Muscle contraction, Cell adhesion, Extracellular matrix organization	0.0	0.0	0.2631432319318084	llm2geneset	1373	1818
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Dopaminergic synapse	Dopaminergic synapse	Calcium signaling pathway, Mitogen-Activated Protein Kinase (MAPK) signaling pathway, G protein-coupled receptor signaling pathway, Cyclic nucleotide signaling pathway, Phosphatidylinositol signaling system	0.0	0.0	0.35587918997693835	llm2geneset	1577	2451
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Drug metabolism	Drug metabolism	Xenobiotic metabolism, Drug metabolism - cytochrome P450, Purine nucleotide metabolism, Nucleotide salvage pathway, Toxic substance detoxification	1.0	1.0	0.752918151720356	llm2geneset	1447	1530
gpt-4o-mini-2024-07-18	KEGG_2021_Human	ECM-receptor interaction	ECM-receptor interaction	Extracellular Matrix Organization, Platelet Activation, Hemostasis, Cell Adhesion, Collagen Metabolism	0.0	0.0	0.538272503751208	llm2geneset	1310	1635
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	Endocrine and other factor-regulated calcium reabsorption	Sodium-potassium pump activity, Calcium signaling pathway, Endocytosis	0.14285714285714285	0.0	0.5044053368370298	llm2geneset	1226	1819
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Endocytosis	Endocytosis	Vesicle-mediated transport, Endocytosis, Regulation of actin cytoskeleton, Antigen processing and presentation, Protein-protein interaction in signal transduction	1.0	0.0	0.9999984851326399	llm2geneset	2001	1599
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Endometrial cancer	Endometrial cancer	Ras signaling pathway, Wnt signaling pathway, PI3K-AKT signaling pathway, Apoptosis, Cell cycle regulation	0.0	0.0	0.27665016424163014	llm2geneset	1219	1465
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	Epithelial cell signaling in Helicobacter pylori infection	NF-kB signaling pathway, Mitogen-activated protein kinase (MAPK) signaling pathway	0.14285714285714285	0.0	0.41288855176457645	llm2geneset	1352	1525
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Epstein-Barr virus infection	Epstein-Barr virus infection	Type I interferon signaling pathway, Apoptosis, Co-expression of class I MHC molecules, MAPK signaling pathway, T cell receptor signaling pathway	0.0	0.0	0.27745147759840716	llm2geneset	1768	1697
gpt-4o-mini-2024-07-18	KEGG_2021_Human	ErbB signaling pathway	ErbB signaling pathway	MAPK Signaling Pathway, Neuregulin Signaling Pathway, EGFR Signaling Pathway, PI3K/Akt Signaling Pathway	0.6666666666666666	0.5	0.8026887075175271	llm2geneset	1345	1635
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Estrogen signaling pathway	Estrogen signaling pathway	MAPK signaling pathway, Estrogen signaling pathway, Calcium signaling pathway, Heat Shock Response	1.0	1.0	0.9999992132617057	llm2geneset	1513	1582
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ether lipid metabolism	Ether lipid metabolism	Glycerophospholipid biosynthesis, Phospholipid metabolism	0.3333333333333333	0.0	0.6887100063415246	llm2geneset	1244	1367
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fanconi anemia pathway	Fanconi anemia pathway	Fanconi Anemia Pathway, Homologous Recombination, DNA Damage Response, Nucleotide Excision Repair, Telomere Maintenance	1.0	1.0	0.9999991178588761	llm2geneset	1182	1031
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fat digestion and absorption	Fat digestion and absorption	Lipid metabolism, Lipoprotein metabolic process, Cholesterol metabolic process, Fatty acid transport	0.0	0.0	0.5322319566850311	llm2geneset	1184	1621
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid biosynthesis	Fatty acid biosynthesis	Acyl-CoA biosynthetic process, Fatty acid metabolism	0.6666666666666666	0.5	0.7422619480615955	llm2geneset	1068	1307
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid degradation	Fatty acid degradation	Fatty acid metabolism, Long-chain fatty acid metabolism, Medium-chain fatty acid oxidation, Ketone body metabolism, Amino acid catabolism	0.6666666666666666	0.5	0.8155765685509457	llm2geneset	1174	1343
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid elongation	Fatty acid elongation	Fatty acid elongation in mitochondria, Mitochondrial fatty acid oxidation pathway	1.0	1.0	0.8699360126253388	llm2geneset	1121	1383
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fc epsilon RI signaling pathway	Fc epsilon RI signaling pathway	MAPK signaling pathway, Fc epsilon RI signaling pathway, PI3K-Akt signaling pathway, Cytokine signaling in immune system, Rho GTPase signaling pathway	1.0	1.0	0.9999990448194311	llm2geneset	1289	2014
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fc gamma R-mediated phagocytosis	Fc gamma R-mediated phagocytosis	Phosphatidylinositol Signaling System, Regulation of Actin Cytoskeleton, Actin Cytoskeleton Organization, Signal Transduction	0.0	0.0	0.36600456836067896	llm2geneset	1414	1489
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ferroptosis	Ferroptosis	Iron homeostasis, Glutathione metabolism, Autophagy, Fatty acid metabolism, Reactive oxygen species (ROS) detoxification	0.0	0.0	0.47505214881039215	llm2geneset	1155	1289
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fluid shear stress and atherosclerosis	Fluid shear stress and atherosclerosis	Vascular endothelial growth factor (VEGF) signaling pathway, IL-1 signaling pathway, MAPK signaling pathway, Nuclear factor kappa-light-chain-enhancer of activated B cells (NF-kB) signaling, Transforming growth factor-beta (TGF-β) signaling pathway	0.0	0.0	0.2916333306113939	llm2geneset	1596	1706
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Focal adhesion	Focal adhesion	Cell adhesion, MAPK signaling pathway, Extracellular matrix organization, Regulation of cell growth	0.5	0.0	0.655657862705143	llm2geneset	1758	1394
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Folate biosynthesis	Folate biosynthesis	Folate biosynthesis, Tetrahydrobiopterin synthesis, Phenylalanine metabolism	1.0	1.0	0.9999999309112892	llm2geneset	1102	911
gpt-4o-mini-2024-07-18	KEGG_2021_Human	FoxO signaling pathway	FoxO signaling pathway	MAPK signaling pathway, PI3K-Akt signaling pathway, Cell cycle regulation, EGF receptor signaling pathway, TGF-beta signaling pathway	0.6666666666666666	0.5	0.5923604233777148	llm2geneset	2250	2173
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fructose and mannose metabolism	Fructose and mannose metabolism	Glycolysis, Fructose and mannose metabolism	1.0	1.0	0.9999989578575095	llm2geneset	1115	848
gpt-4o-mini-2024-07-18	KEGG_2021_Human	GABAergic synapse	GABAergic synapse	GABAergic synapse, Calcium signaling pathway, Neurotransmitter release cycle, Glutamate receptor signaling pathway	1.0	1.0	0.9995557144198602	llm2geneset	1350	1950
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Galactose metabolism	Galactose metabolism	Galactose metabolism, Glycolysis, Lysosomal storage disorders	1.0	1.0	0.9999989964979417	llm2geneset	1104	1130
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Gap junction	Gap junction	Cyclic nucleotide signaling, MAPK signaling pathway, PDGF signaling pathway, Epidermal growth factor receptor signaling pathway	0.0	0.0	0.3699407625729775	llm2geneset	1358	1861
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Gastric acid secretion	Gastric acid secretion	Calcium signaling, Ion transport, Regulation of cytosolic calcium concentration, G protein-coupled receptor signaling pathway	0.0	0.0	0.3184717026819812	llm2geneset	1305	2218
